nama_kamus,jumlah_bold,jumlah_italic,mean_ukuran_char,banyak_halaman
27. Kamus Bahasa Indonesia-Saluan (2012)-hasil-ekstraksi.csv,9105,11147,10.1,120
63. Kamus Bahasa Indonesia-Lampung Dialek A (1999)-hasil-ekstraksi.csv,972,13724,10.77,321
56. Kamus Lampung-Indonesia (1985)-hasil-ekstraksi.csv,6144,27041,10.24,305
42. Kamus Bahasa Indonesia-Bahasa Sunda II (1993)-hasil-ekstraksi.csv,6365,35806,11.32,486
10. Kamus Bahasa Indonesia-Dayak Deah Edisi I (2013)-hasil-ekstraksi.csv,5634,17598,9.07,300
33. Kamus Wolio Indonesia (1985)-hasil-ekstraksi.csv,2746,12779,10.27,191
51. Kamus Bahasa Bali Kuno-Indonesia (1985)-hasil-ekstraksi.csv,1911,5688,9.95,122
17. Kamus Melayu Makasar-Indonesia (1985)-hasil-ekstraksi.csv,2838,12798,10.21,143
24. Kamus Minangkabau-Indonesia (1985)-hasil-ekstraksi.csv,11952,26256,9.92,312
87. Kamus Bahasa Indonesia-Kaidipang (A-K) (1999)-hasil-ekstraksi.csv,878,30146,10.71,525
44. Kamus Melayu Deli-Indonesia (1985)-hasil-ekstraksi.csv,2150,8078,10.2,117
4. Kamus Bahasa Indonesia-Jambi A-K (1998)-hasil-ekstraksi.csv,4023,23554,11.37,208
31. Kamus Sumbawa-Indonesia (1985)-hasil-ekstraksi.csv,483,10553,9.31,167
34. Kamus Bahasa Indonesia-Bali L-Z (1998)-hasil-ekstraksi.csv,16323,18825,10.76,498
52. Kamus Ogan-Indonesia (1985)-hasil-ekstraksi.csv,6643,21366,10.45,249
15. Kamus Bahasa Indonesia-Pasir (1997)-hasil-ekstraksi.csv,673,39746,10.74,529
85. Kamus Tondano-Indonesia (1985)-hasil-ekstraksi.csv,1229,16617,9.25,296
23. Kamus Dwibahasa Dayak Ngaju-Indonesia (2013)-hasil-ekstraksi.csv,3581,631,8.98,154
9. Kamus Manado-Indonesia (1985)-hasil-ekstraksi.csv,8908,10412,9.32,136
16. Kamus Bahasa Indonesia Karo A-K (1998)-hasil-ekstraksi.csv,2257,28938,10.36,401
19. Kamus Bahasa Indoensia-Melayu Riau (1997)-hasil-ekstraksi.csv,9504,29076,11.55,436
12. Kamus Bahasa Indonesia-Kaidipang L-Z (2000)-hasil-ekstraksi.csv,12383,28479,11.15,512
78. Kamus Tolaki-Indonesia (1985)-hasil-ekstraksi.csv,179,13280,9.67,160
66. Kamus Melayu Bali-Indonesia (1985)-hasil-ekstraksi.csv,2032,8711,10.21,126
91. Kamus Simalungun - Indonesia (edisi kedua) (2015)-hasil-ekstraksi.csv,13465,33758,9.98,264
20. Kamus Bahasa Melayu Ambon-Indonesia (1998)-hasil-ekstraksi.csv,2230,12638,11.78,138
14. Kamus Bahasa Indonesia-Bahasa Minangkabau II (1994)-hasil-ekstraksi.csv,606,30562,10.79,465
71. Kamus dwibahasa Bugis-Indonesia (2017)-hasil-ekstraksi.csv,1201,3623,11.02,49
28. Kamus Bahasa Kutai-Bahasa Indonesia (2013)-hasil-ekstraksi.csv,819,27928,10.59,436
46. Kamus Bahasa Banjar Dialek Hulu-Indonesia (2008)-hasil-ekstraksi.csv,26876,36691,8.52,310
2. Kamus Melayu-Indonesia (1985)-hasil-ekstraksi.csv,7563,15196,10.68,229
68. Kamus Dwibahasa Bahasa Talaud - Bahasa Indonesia (2018)-hasil-ekstraksi.csv,13907,19156,11.02,283
18. Kamus Bahasa Jawa-Bahasa Indonesia I (1993)-hasil-ekstraksi.csv,20527,8640,11.11,450
36. Kamus Bahasa Indonesia-Kulawi (2012)-hasil-ekstraksi.csv,1443,21190,9.6,222
21. Kamus Bahasa Indonesia-Sentani A-K (1999)-hasil-ekstraksi.csv,5104,14987,11.32,182
32. Kamus Melayu Langkat-Indonesia (1985)-hasil-ekstraksi.csv,3246,8312,10.05,183
41. Kamus Bahasa Indonesia-Bali A-K (1997)-hasil-ekstraksi.csv,16876,23898,11.5,451
29. Kata Tetun Indonesia (1985)-hasil-ekstraksi.csv,3088,12896,10.37,118
8. Kamus Indonesia-Angkola (1995)-hasil-ekstraksi.csv,310,4417,8.8,154
60. Kamus Sunda-Indonesia (1985)-hasil-ekstraksi.csv,480,8381,9.09,382
5. Kamus Bahasa Indonesia-Bahasa Tonsea I (1996)-hasil-ekstraksi.csv,4744,2145,11.15,148
26. Kamus Bahasa Indonesia-Bahasa Tonsea II (1996)-hasil-ekstraksi.csv,5354,2711,11.09,168
58. Kamus Melayu Ketapang-Indonesia A-M (2010)-hasil-ekstraksi.csv,5849,1723,9.46,159
38. Kamus Bahasa Indonesia-Karo L-Z (1999)-hasil-ekstraksi.csv,2113,30006,10.86,584
55. Kamus Bahasa Indonesia Bakumpai I (1995)-hasil-ekstraksi.csv,2334,19643,11.29,198
