dict_id,direction,direction_known,prep_rows,prep_anomali_rate,billex_rows,billex_null_rate,billex_empty_ind_rate,billex_empty_reg_rate,billex_multiword_ind_rate,billex_multiword_reg_rate,billex_identical_rate,billex_duplicate_rate,billex_vocab_size_ind,billex_vocab_size_reg,billex_total_tokens_ind,billex_total_tokens_reg,billex_ttr_ind,billex_ttr_reg,billex_suspicious_char_rate,billex_mean_len_ind,billex_mean_len_reg,morph_rows,morph_tag_coverage,morph_inline_pos_rate,morph_mean_form_tokens,morph_duplicate_rate,morph_tag_pct_n,morph_tag_pct_v,morph_tag_pct_vt,morph_tag_pct_vi,morph_tag_pct_a,morph_tag_pct_adv,parcor_rows,parcor_null_rate,parcor_placeholder_rate,parcor_short_rate,parcor_imbalanced_rate,parcor_duplicate_rate,parcor_mean_len_asal,parcor_mean_len_tujuan,morph_fixed_rows,morph_fixed_tag_coverage,morph_fixed_inline_pos_rate,morph_fixed_mean_form_tokens,morph_fixed_duplicate_rate,morph_fixed_tag_pct_n,morph_fixed_tag_pct_v,morph_fixed_tag_pct_vt,morph_fixed_tag_pct_vi,morph_fixed_tag_pct_a,morph_fixed_tag_pct_adv,parcor_fixed_rows,parcor_fixed_null_rate,parcor_fixed_placeholder_rate,parcor_fixed_short_rate,parcor_fixed_imbalanced_rate,parcor_fixed_duplicate_rate,parcor_fixed_mean_len_asal,parcor_fixed_mean_len_tujuan,violations_prefix,violation_count_prefix,tier_prefix,violations_postfix,violation_count_postfix,tier_postfix
1,0,True,4024,0.9853,16,0.0,0.0,0.0,0.6875,0.1875,0.0,0.0,67.0,11.0,76.0,13.0,0.8816,0.8462,0.0,30.88,5.56,6,0.0,0.0,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2914,0.0075,0.0075,0.3236,0.0707,0.0,7.54,8.29,6,0.0,0.0,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2914,0.0075,0.0003,0.3236,0.0707,0.0,7.54,8.29,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_short_rows,5,broken,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_short_rows,5,broken
2,0,True,4752,0.9781,76,0.0,0.0,0.0132,0.4342,0.1184,0.0,0.0658,156.0,46.0,197.0,50.0,0.7919,0.92,0.0,16.12,4.51,12,0.25,0.0,3.42,0.0,0.3333,0.6667,0.0,0.0,0.0,0.0,2047,0.0513,0.341,0.3845,0.1514,0.0103,9.35,9.9,12,0.3333,0.0,3.17,0.0,0.25,0.5,0.0,0.0,0.25,0.0,2047,0.0513,0.0112,0.3845,0.1514,0.0103,9.35,9.9,billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_null_rate;parcor_high_placeholders;parcor_high_short_rows,6,broken,billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_null_rate;parcor_high_short_rows,5,broken
3,0,True,834,0.9652,19,0.0,0.0,0.0526,0.8947,0.0526,0.0,0.0,196.0,3.0,229.0,3.0,0.8559,1.0,0.0,71.05,2.32,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125,0.04,0.504,0.28,0.096,0.0,294.03,294.41,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,125,0.04,0.056,0.28,0.096,0.0,294.03,294.41,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_placeholders,5,broken,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows,3,broken
4,1,True,3213,0.277,1894,0.0,0.0,0.0,0.1193,0.0264,0.2851,0.0005,2155.0,1810.0,2233.0,1983.0,0.9651,0.9128,0.0269,7.92,7.14,728,0.5412,0.4327,2.0,0.0014,0.8706,0.033,0.0,0.0,0.0558,0.0203,2658,0.0011,0.6527,0.1144,0.0312,0.0,6.32,6.92,728,0.9794,0.0,1.09,0.0027,0.6115,0.0351,0.2482,0.0435,0.0351,0.014,2658,0.0011,0.0041,0.1144,0.0312,0.0,6.32,6.92,billex_high_multiword_ind;parcor_high_placeholders,2,needs_attention,billex_high_multiword_ind,1,needs_attention
5,1,True,3854,0.1759,2395,0.0,0.0,0.0013,0.1846,0.1578,0.01,0.0029,3025.0,1413.0,3420.0,1936.0,0.8845,0.7299,0.0027,9.21,6.04,820,0.6841,0.2744,2.7,0.0061,0.8324,0.082,0.0,0.0,0.0624,0.0178,697,0.0287,0.0014,0.6901,0.0387,0.0029,2.56,3.02,820,0.9707,0.0,1.22,0.0061,0.7073,0.0766,0.0377,0.098,0.0565,0.0151,697,0.0287,0.0,0.6901,0.0387,0.0029,2.56,3.02,billex_high_multiword_ind;parcor_high_short_rows,2,needs_attention,billex_high_multiword_ind;parcor_high_short_rows,2,needs_attention
8,1,True,2282,0.8475,342,0.0,0.0,0.0029,0.2368,0.1111,0.0585,0.0058,463.0,249.0,529.0,273.0,0.8752,0.9121,0.0,8.07,4.97,124,0.2016,0.0403,2.34,0.0161,0.52,0.32,0.0,0.0,0.12,0.0,413,0.1743,0.1162,0.7966,0.0339,0.0121,15.8,15.41,124,0.3226,0.0,1.9,0.0565,0.325,0.2,0.05,0.15,0.25,0.0,413,0.1743,0.0097,0.7966,0.0339,0.0121,15.8,15.41,billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_null_rate;parcor_high_short_rows,4,broken,billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_null_rate;parcor_high_short_rows,4,broken
9,0,True,2248,0.9729,23,0.0,0.0,0.0,0.913,0.0435,0.0,0.0,127.0,7.0,148.0,7.0,0.8581,1.0,0.0,34.74,3.26,8,0.0,0.0,8.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1049,0.0439,0.3317,0.388,0.1173,0.0076,10.29,9.93,8,0.125,0.0,7.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1049,0.0439,0.0143,0.388,0.1173,0.0076,10.29,9.93,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_placeholders;parcor_high_short_rows,6,broken,billex_too_few_rows;billex_high_multiword_ind;morph_too_few_rows;morph_low_tag_coverage;parcor_high_short_rows,5,broken
10,1,True,5287,0.2712,3800,0.0,0.0,0.0003,0.0884,0.1111,0.0505,0.0134,3911.0,2845.0,4398.0,3828.0,0.8893,0.7432,0.0,7.59,6.26,1125,0.8542,0.0471,1.43,0.024,0.2102,0.7544,0.0,0.0,0.0187,0.0114,2942,0.0034,0.6638,0.0867,0.0374,0.0061,5.8,6.64,1125,0.9271,0.0,1.2,0.0302,0.2023,0.7306,0.0,0.0268,0.023,0.0115,2942,0.0034,0.0037,0.0867,0.0374,0.0065,5.8,6.64,parcor_high_placeholders,1,needs_attention,,0,good
11,0,True,2298,0.8116,399,0.005,0.005,0.0,0.3634,0.1554,0.0075,0.0125,785.0,291.0,1076.0,331.0,0.7296,0.8792,0.0,16.28,5.93,205,0.1366,0.0195,2.16,0.0146,0.2143,0.5357,0.0,0.0,0.0714,0.0,609,0.179,0.3875,0.5796,0.0361,0.0542,48.48,49.07,205,0.2244,0.0,1.9,0.0244,0.1957,0.3478,0.1304,0.1087,0.087,0.0217,609,0.179,0.0197,0.5796,0.0361,0.0542,48.48,49.07,billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_null_rate;parcor_high_placeholders;parcor_high_short_rows,5,broken,billex_high_multiword_ind;morph_low_tag_coverage;parcor_high_null_rate;parcor_high_short_rows,4,broken
12,1,True,9411,0.332,6192,0.0,0.0,0.0005,0.2211,0.1584,0.0027,0.011,6551.0,4438.0,8922.0,5979.0,0.7343,0.7423,0.0002,9.35,8.14,2645,0.6726,0.2529,2.6,0.0423,0.3024,0.6268,0.0,0.0,0.0596,0.0045,4810,0.0362,0.3838,0.4534,0.1141,0.0029,6.12,7.37,2645,0.9297,0.0,1.32,0.0578,0.2956,0.6307,0.0,0.0057,0.0545,0.0041,4810,0.0362,0.0135,0.4534,0.1141,0.0029,6.12,7.37,billex_high_multiword_ind;parcor_high_placeholders;parcor_high_short_rows,3,broken,billex_high_multiword_ind;parcor_high_short_rows,2,needs_attention
