dict_id,prep_rows,billex_rows,morph_rows,parcor_rows,billex_retention,morph_retention,parcor_retention
1,4024,16,6,2914,0.004,0.001,0.724
2,4752,76,12,2047,0.016,0.003,0.431
3,834,19,1,125,0.023,0.001,0.15
4,3213,1894,728,2658,0.589,0.227,0.827
5,3854,2395,820,697,0.621,0.213,0.181
8,2282,342,124,413,0.15,0.054,0.181
9,2248,23,8,1049,0.01,0.004,0.467
10,5287,3800,1125,2942,0.719,0.213,0.556
11,2298,399,205,609,0.174,0.089,0.265
12,9411,6192,2645,4810,0.658,0.281,0.511
13,1025,254,143,588,0.248,0.14,0.574
14,1258,406,93,997,0.323,0.074,0.793
15,1500,401,155,711,0.267,0.103,0.474
16,4108,1916,471,1889,0.466,0.115,0.46
17,2161,7,4,1673,0.003,0.002,0.774
18,14890,9877,2684,2341,0.663,0.18,0.157
19,8562,5380,2032,5579,0.628,0.237,0.652
20,2109,0,0,1719,0.0,0.0,0.815
21,2997,1485,482,2019,0.495,0.161,0.674
22,366,5,0,88,0.014,0.0,0.24
23,2938,1870,693,2395,0.636,0.236,0.815
24,8517,4405,2172,3518,0.517,0.255,0.413
25,440,168,143,195,0.382,0.325,0.443
26,4743,3137,1014,591,0.661,0.214,0.125
27,3728,1559,612,1738,0.418,0.164,0.466
28,1082,658,183,547,0.608,0.169,0.506
29,1980,1,2,1588,0.001,0.001,0.802
31,1371,1,0,566,0.001,0.0,0.413
32,3365,5,0,1261,0.001,0.0,0.375
33,2912,30,27,1855,0.01,0.009,0.637
34,11225,5730,2322,4407,0.51,0.207,0.393
35,3146,2241,999,2281,0.712,0.318,0.725
36,2792,1434,626,1258,0.514,0.224,0.451
37,361,96,2,260,0.266,0.006,0.72
38,4372,124,73,1817,0.028,0.017,0.416
41,13390,7825,2883,4221,0.584,0.215,0.315
42,6931,3225,1037,3683,0.465,0.15,0.531
43,4917,3417,1444,3705,0.695,0.294,0.754
44,2002,3,0,687,0.001,0.0,0.343
45,3664,2377,1039,2332,0.649,0.284,0.636
46,13239,8618,4621,8484,0.651,0.349,0.641
48,233,1,0,193,0.004,0.0,0.828
50,1620,410,252,679,0.253,0.156,0.419
51,2095,294,39,813,0.14,0.019,0.388
52,2682,5,0,2111,0.002,0.0,0.787
54,2356,1085,728,1174,0.461,0.309,0.498
55,2668,1508,422,1829,0.565,0.158,0.686
56,3119,13,1,2347,0.004,0.0,0.752
57,2650,9,3,1529,0.003,0.001,0.577
58,5255,34,9,1532,0.006,0.002,0.292
60,1644,105,7,942,0.064,0.004,0.573
61,2795,3,2,1090,0.001,0.001,0.39
62,8799,92,63,3632,0.01,0.007,0.413
63,1085,256,53,825,0.236,0.049,0.76
66,1661,2,6,1003,0.001,0.004,0.604
67,3135,162,65,511,0.052,0.021,0.163
68,7546,6936,2343,2044,0.919,0.31,0.271
70,354,159,3,48,0.449,0.008,0.136
71,904,783,28,727,0.866,0.031,0.804
77,1782,1284,278,1353,0.721,0.156,0.759
78,1196,2,0,311,0.002,0.0,0.26
79,1877,754,331,783,0.402,0.176,0.417
84,1001,5,2,264,0.005,0.002,0.264
85,1243,26,1,532,0.021,0.001,0.428
87,2315,761,200,1009,0.329,0.086,0.436
89,1153,1128,106,935,0.978,0.092,0.811
91,10852,10077,3668,4762,0.929,0.338,0.439
94,958,27,5,163,0.028,0.005,0.17
