dict_id,direction,direction_known,parcor_has_examples_in_source,parcor_source_example_rate,prep_rows,billex_rows,billex_null_rate,billex_multiword_ind_rate,morph_rows,morph_tag_coverage,parcor_rows,parcor_null_rate,parcor_placeholder_rate,parcor_short_rate,billex_fixed_rows,billex_fixed_null_rate,billex_fixed_multiword_ind_rate,morph_fixed_rows,morph_fixed_tag_coverage,parcor_fixed_rows,parcor_fixed_null_rate,parcor_fixed_placeholder_rate,parcor_fixed_short_rate,billex_violations_prefix,billex_tier_prefix,morph_violations_prefix,morph_tier_prefix,parcor_violations_prefix,parcor_tier_prefix,overall_tier_prefix,billex_violations_postfix,billex_tier_postfix,morph_violations_postfix,morph_tier_postfix,parcor_violations_postfix,parcor_tier_postfix,overall_tier_postfix
1,0,True,True,0.7431,3986,16,0.0,0.6875,6,0.0,2914,0.0075,0.0075,0.3236,16,0.0,0.6875,6,0.0,2914,0.0075,0.0003,0.3236,billex_too_few_rows;billex_high_multiword_ind,broken,morph_too_few_rows;morph_low_tag_coverage,broken,,good,broken,billex_too_few_rows;billex_high_multiword_ind,broken,morph_too_few_rows;morph_low_tag_coverage,broken,,good,broken
2,0,True,True,0.4367,4752,76,0.0,0.4342,12,0.25,2047,0.0513,0.341,0.3845,76,0.0,0.4342,12,0.3333,2047,0.0513,0.0112,0.3845,billex_too_few_rows,needs_attention,morph_too_few_rows;morph_low_tag_coverage,broken,,good,broken,billex_too_few_rows,needs_attention,morph_too_few_rows;morph_low_tag_coverage,broken,,good,broken
3,0,True,True,0.1633,833,19,0.0,0.8947,1,0.0,125,0.04,0.504,0.28,19,0.0,0.8947,1,1.0,125,0.04,0.056,0.28,billex_too_few_rows;billex_high_multiword_ind,broken,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows,needs_attention,broken,billex_too_few_rows;billex_high_multiword_ind,broken,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,broken
4,1,True,True,0.9598,3212,1894,0.0,0.1193,728,0.5412,2658,0.0011,0.6527,0.1144,1894,0.0,0.0275,728,0.9794,2658,0.0011,0.0041,0.1144,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,,good,needs_attention,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,,good,needs_attention
5,1,True,True,0.2136,3853,2395,0.0,0.1846,820,0.6841,697,0.0287,0.0014,0.6901,2395,0.0,0.091,820,0.9707,697,0.0287,0.0,0.6901,,good,morph_too_few_rows,needs_attention,parcor_too_few_rows;parcor_high_short_rows,broken,broken,,good,morph_too_few_rows,needs_attention,parcor_too_few_rows;parcor_high_short_rows,broken,broken
8,1,True,True,0.1863,2281,342,0.0,0.2368,124,0.2016,413,0.1743,0.1162,0.7966,342,0.0,0.1491,124,0.3226,413,0.1743,0.0097,0.7966,billex_too_few_rows,needs_attention,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows;parcor_high_null_rate;parcor_high_short_rows,broken,broken,billex_too_few_rows,needs_attention,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows;parcor_high_null_rate;parcor_high_short_rows,broken,broken
9,0,True,True,0.4862,2240,23,0.0,0.913,8,0.0,1049,0.0439,0.3317,0.388,23,0.0,0.913,8,0.125,1049,0.0439,0.0143,0.388,billex_too_few_rows;billex_high_multiword_ind,broken,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows,needs_attention,broken,billex_too_few_rows;billex_high_multiword_ind,broken,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows,needs_attention,broken
10,1,True,True,0.5694,5260,3800,0.0,0.0884,1125,0.8542,2942,0.0034,0.6638,0.0867,3800,0.0,0.0434,1125,0.9271,2942,0.0034,0.0037,0.0867,,good,,good,,good,good,,good,,good,,good,good
11,0,True,True,0.2829,2298,399,0.005,0.3634,205,0.1366,609,0.179,0.3875,0.5796,399,0.005,0.3634,205,0.2244,609,0.179,0.0197,0.5796,billex_too_few_rows;billex_high_null_rate,broken,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows;parcor_high_null_rate;parcor_high_short_rows,broken,broken,billex_too_few_rows;billex_high_null_rate,broken,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows;parcor_high_null_rate;parcor_high_short_rows,broken,broken
12,1,True,True,0.5218,9400,6192,0.0,0.2211,2645,0.6726,4810,0.0362,0.3838,0.4534,6192,0.0,0.1177,2645,0.9297,4810,0.0362,0.0135,0.4534,,good,,good,,good,good,,good,,good,,good,good
13,1,True,True,0.6943,1024,254,0.0,0.1063,143,0.2727,588,0.034,0.3571,0.2143,254,0.0,0.0748,143,0.6643,588,0.034,0.0017,0.2143,billex_too_few_rows,needs_attention,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows,needs_attention,broken,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,needs_attention
14,1,True,True,0.856,1257,406,0.0,0.3498,93,0.5161,997,0.012,0.3892,0.1565,406,0.0,0.3276,93,0.9892,997,0.012,0.007,0.1565,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,needs_attention,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,needs_attention
15,1,True,True,0.5097,1495,401,0.005,0.217,155,0.6452,711,0.0647,0.4248,0.2433,401,0.005,0.1496,155,0.7935,711,0.0647,0.0042,0.2433,billex_too_few_rows;billex_high_null_rate,broken,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,broken,billex_too_few_rows;billex_high_null_rate,broken,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,broken
16,1,True,True,0.5907,4105,1916,0.0,0.1268,471,0.7516,1889,0.0402,0.5484,0.2605,1916,0.0,0.0673,471,0.9533,1889,0.0402,0.0053,0.2605,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,needs_attention,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,needs_attention
17,0,True,True,0.7898,2160,7,0.0,1.0,4,0.0,1673,0.0155,0.4441,0.3025,7,0.0,1.0,4,0.5,1673,0.0155,0.0084,0.3025,billex_too_few_rows;billex_high_multiword_ind,broken,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows,needs_attention,broken,billex_too_few_rows;billex_high_multiword_ind,broken,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,broken
18,0,True,True,0.1681,14876,9877,0.0002,0.1449,2684,0.7269,2341,0.0436,0.0239,0.6561,9877,0.0002,0.1449,2684,0.8748,2341,0.0436,0.0073,0.6561,,good,,good,parcor_high_short_rows,needs_attention,needs_attention,,good,,good,parcor_high_short_rows,needs_attention,needs_attention
19,1,True,True,0.7454,8552,5380,0.0,0.1383,2032,0.5694,5579,0.0088,0.4004,0.3854,5380,0.0,0.052,2032,0.9439,5579,0.0088,0.0088,0.3854,,good,,good,,good,good,,good,,good,,good,good
20,0,True,True,0.8189,2109,0,,,0,,1719,0.0111,0.7208,0.0925,0,,,0,,1719,0.0111,0.0035,0.0925,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows;parcor_high_placeholders,broken,broken,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,needs_attention
21,1,True,True,0.697,2990,1485,0.0,0.1562,482,0.6037,2019,0.0154,0.6166,0.3135,1485,0.0,0.1125,482,0.9129,2019,0.0154,0.0094,0.3135,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,,good,needs_attention,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,,good,needs_attention
22,0,True,True,0.2603,365,5,0.0,1.0,0,,88,0.0341,0.4886,0.1023,5,0.0,1.0,0,,88,0.0341,0.0114,0.1023,billex_too_few_rows;billex_high_multiword_ind,broken,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,broken,billex_too_few_rows;billex_high_multiword_ind,broken,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,broken
23,0,True,True,0.822,2938,1870,0.0,0.2209,693,0.7619,2395,0.0054,0.5177,0.1144,1870,0.0,0.2209,693,0.8615,2395,0.0054,0.0046,0.1144,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,,good,needs_attention,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,,good,needs_attention
24,0,True,True,0.4338,8491,4405,0.0,0.1419,2172,0.6248,3518,0.0574,0.1677,0.4855,4405,0.0,0.1419,2172,0.8034,3518,0.0574,0.0085,0.4855,,good,,good,parcor_high_short_rows,needs_attention,needs_attention,,good,,good,parcor_high_short_rows,needs_attention,needs_attention
25,1,True,True,0.4432,440,168,0.0,0.0595,143,0.4965,195,0.0513,0.559,0.3128,168,0.0,0.0119,143,0.6224,195,0.0513,0.0103,0.3128,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,needs_attention,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,needs_attention
26,1,True,True,0.1483,4735,3137,0.0,0.1897,1014,0.6558,591,0.1168,0.0389,0.6531,3137,0.0,0.0928,1014,0.9615,591,0.1168,0.0,0.6531,,good,,good,parcor_too_few_rows;parcor_high_null_rate;parcor_high_short_rows,broken,broken,,good,,good,parcor_too_few_rows;parcor_high_null_rate;parcor_high_short_rows,broken,broken
27,1,True,True,0.4811,3723,1559,0.0,0.2418,612,0.6569,1738,0.0414,0.3734,0.4471,1559,0.0,0.1482,612,0.9101,1738,0.0414,0.0098,0.4471,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,needs_attention,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,needs_attention
28,0,True,True,0.5171,1081,658,0.0015,0.1581,183,0.8306,547,0.0073,0.5558,0.1261,658,0.0015,0.1581,183,0.9454,547,0.0073,0.0018,0.1261,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,needs_attention,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,needs_attention
29,0,True,True,0.8044,1979,1,0.0,1.0,2,0.0,1588,0.0246,0.5913,0.2796,1,0.0,1.0,2,0.0,1588,0.0246,0.0435,0.2796,billex_too_few_rows;billex_high_multiword_ind,broken,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows,needs_attention,broken,billex_too_few_rows;billex_high_multiword_ind,broken,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows,needs_attention,broken
31,0,True,True,0.4216,1371,1,0.0,0.0,0,,566,0.1025,0.341,0.4452,1,0.0,0.0,0,,566,0.1025,0.0124,0.4452,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,needs_attention,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,needs_attention
32,0,True,True,0.3836,3345,5,0.0,0.8,0,,1261,0.0167,0.4132,0.3354,5,0.0,0.8,0,,1261,0.0167,0.0063,0.3354,billex_too_few_rows;billex_high_multiword_ind,broken,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,broken,billex_too_few_rows;billex_high_multiword_ind,broken,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,broken
33,0,True,True,0.7285,2899,30,0.0,0.3333,27,0.0,1855,0.0097,0.2857,0.3121,30,0.0,0.3333,27,0.037,1855,0.0097,0.0059,0.3121,billex_too_few_rows,needs_attention,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows,needs_attention,broken,billex_too_few_rows,needs_attention,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows,needs_attention,broken
34,1,True,True,0.4072,11207,5730,0.0003,0.2084,2322,0.3243,4407,0.1101,0.2067,0.5571,5730,0.0003,0.1225,2322,0.4212,4407,0.1101,0.002,0.5571,,good,morph_low_tag_coverage,needs_attention,parcor_high_short_rows,needs_attention,needs_attention,,good,,good,parcor_high_short_rows,needs_attention,needs_attention
35,1,True,True,0.739,3145,2241,0.0,0.0915,999,0.7788,2281,0.0285,0.3433,0.1214,2241,0.0,0.0286,999,0.9369,2281,0.0285,0.0009,0.1214,,good,,good,,good,good,,good,,good,,good,good
36,1,True,True,0.4552,2788,1434,0.0007,0.0551,626,0.7412,1258,0.058,0.4324,0.2289,1434,0.0007,0.037,626,0.845,1258,0.058,0.0032,0.2289,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,needs_attention,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,needs_attention
37,1,True,True,0.8006,361,96,0.0,0.4271,2,0.5,260,0.0115,0.7423,0.1308,96,0.0,0.3646,2,0.5,260,0.0115,0.0,0.1308,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows;parcor_high_placeholders,broken,broken,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,needs_attention
38,1,True,True,0.4476,4370,124,0.0,0.6532,73,0.0137,1817,0.0352,0.4651,0.2306,124,0.0,0.621,73,0.6164,1817,0.0352,0.0066,0.2306,billex_too_few_rows,needs_attention,morph_too_few_rows;morph_low_tag_coverage,broken,parcor_too_few_rows,needs_attention,broken,billex_too_few_rows,needs_attention,morph_too_few_rows,needs_attention,parcor_too_few_rows,needs_attention,needs_attention
41,1,True,True,0.3272,13376,7825,0.0001,0.2344,2883,0.4093,4221,0.0336,0.3807,0.4286,7825,0.0001,0.141,2883,0.5113,4221,0.0336,0.0142,0.4286,,good,,good,,good,good,,good,,good,,good,good
42,1,True,True,0.657,6925,3225,0.0,0.1656,1037,0.5178,3683,0.0138,0.3861,0.2115,3225,0.0,0.098,1037,0.9151,3683,0.0138,0.0071,0.2115,,good,,good,,good,good,,good,,good,,good,good
