dict_id,billex_tier_prefix,morph_tier_prefix,parcor_tier_prefix,overall_tier_prefix,billex_tier_postfix,morph_tier_postfix,parcor_tier_postfix,overall_tier_postfix,billex_violations_prefix,morph_violations_prefix,parcor_violations_prefix,billex_violations_postfix,morph_violations_postfix,parcor_violations_postfix,parcor_has_examples_in_source
1,broken,broken,good,broken,broken,broken,good,broken,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows;morph_low_tag_coverage,,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows;morph_low_tag_coverage,,True
2,needs_attention,broken,good,broken,needs_attention,broken,good,broken,billex_too_few_rows,morph_too_few_rows;morph_low_tag_coverage,,billex_too_few_rows,morph_too_few_rows;morph_low_tag_coverage,,True
3,broken,broken,needs_attention,broken,broken,needs_attention,needs_attention,broken,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows,parcor_too_few_rows,True
4,needs_attention,needs_attention,good,needs_attention,needs_attention,needs_attention,good,needs_attention,billex_too_few_rows,morph_too_few_rows,,billex_too_few_rows,morph_too_few_rows,,True
5,good,needs_attention,broken,broken,good,needs_attention,broken,broken,,morph_too_few_rows,parcor_too_few_rows;parcor_high_short_rows,,morph_too_few_rows,parcor_too_few_rows;parcor_high_short_rows,True
8,needs_attention,broken,broken,broken,needs_attention,broken,broken,broken,billex_too_few_rows,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows;parcor_high_null_rate;parcor_high_short_rows,billex_too_few_rows,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows;parcor_high_null_rate;parcor_high_short_rows,True
9,broken,broken,needs_attention,broken,broken,broken,needs_attention,broken,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,True
10,good,good,good,good,good,good,good,good,,,,,,,True
11,broken,broken,broken,broken,broken,broken,broken,broken,billex_too_few_rows;billex_high_null_rate,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows;parcor_high_null_rate;parcor_high_short_rows,billex_too_few_rows;billex_high_null_rate,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows;parcor_high_null_rate;parcor_high_short_rows,True
12,good,good,good,good,good,good,good,good,,,,,,,True
13,needs_attention,broken,needs_attention,broken,needs_attention,needs_attention,needs_attention,needs_attention,billex_too_few_rows,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,True
14,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,True
15,broken,needs_attention,needs_attention,broken,broken,needs_attention,needs_attention,broken,billex_too_few_rows;billex_high_null_rate,morph_too_few_rows,parcor_too_few_rows,billex_too_few_rows;billex_high_null_rate,morph_too_few_rows,parcor_too_few_rows,True
16,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,True
17,broken,broken,needs_attention,broken,broken,needs_attention,needs_attention,broken,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows,parcor_too_few_rows,True
18,good,good,needs_attention,needs_attention,good,good,needs_attention,needs_attention,,,parcor_high_short_rows,,,parcor_high_short_rows,True
19,good,good,good,good,good,good,good,good,,,,,,,True
20,needs_attention,needs_attention,broken,broken,needs_attention,needs_attention,needs_attention,needs_attention,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows;parcor_high_placeholders,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,True
21,needs_attention,needs_attention,good,needs_attention,needs_attention,needs_attention,good,needs_attention,billex_too_few_rows,morph_too_few_rows,,billex_too_few_rows,morph_too_few_rows,,True
22,broken,needs_attention,needs_attention,broken,broken,needs_attention,needs_attention,broken,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows,parcor_too_few_rows,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows,parcor_too_few_rows,True
23,needs_attention,needs_attention,good,needs_attention,needs_attention,needs_attention,good,needs_attention,billex_too_few_rows,morph_too_few_rows,,billex_too_few_rows,morph_too_few_rows,,True
24,good,good,needs_attention,needs_attention,good,good,needs_attention,needs_attention,,,parcor_high_short_rows,,,parcor_high_short_rows,True
25,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,True
26,good,good,broken,broken,good,good,broken,broken,,,parcor_too_few_rows;parcor_high_null_rate;parcor_high_short_rows,,,parcor_too_few_rows;parcor_high_null_rate;parcor_high_short_rows,True
27,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,True
28,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,True
29,broken,broken,needs_attention,broken,broken,broken,needs_attention,broken,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,True
31,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,True
32,broken,needs_attention,needs_attention,broken,broken,needs_attention,needs_attention,broken,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows,parcor_too_few_rows,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows,parcor_too_few_rows,True
33,needs_attention,broken,needs_attention,broken,needs_attention,broken,needs_attention,broken,billex_too_few_rows,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,billex_too_few_rows,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,True
34,good,needs_attention,needs_attention,needs_attention,good,good,needs_attention,needs_attention,,morph_low_tag_coverage,parcor_high_short_rows,,,parcor_high_short_rows,True
35,good,good,good,good,good,good,good,good,,,,,,,True
36,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,True
37,needs_attention,needs_attention,broken,broken,needs_attention,needs_attention,needs_attention,needs_attention,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows;parcor_high_placeholders,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,True
38,needs_attention,broken,needs_attention,broken,needs_attention,needs_attention,needs_attention,needs_attention,billex_too_few_rows,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,True
41,good,good,good,good,good,good,good,good,,,,,,,True
42,good,good,good,good,good,good,good,good,,,,,,,True
43,good,good,good,good,good,good,good,good,,,,,,,True
44,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,True
45,good,good,good,good,good,good,good,good,,,,,,,True
46,good,good,good,good,good,good,good,good,,,,,,,True
48,broken,needs_attention,needs_attention,broken,broken,needs_attention,needs_attention,broken,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows,parcor_too_few_rows,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows,parcor_too_few_rows,True
50,broken,broken,broken,broken,broken,broken,broken,broken,billex_too_few_rows;billex_high_null_rate,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows;parcor_high_short_rows,billex_too_few_rows;billex_high_null_rate,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows;parcor_high_short_rows,True
51,needs_attention,broken,needs_attention,broken,needs_attention,broken,needs_attention,broken,billex_too_few_rows,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,billex_too_few_rows,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,True
52,needs_attention,needs_attention,good,needs_attention,needs_attention,needs_attention,good,needs_attention,billex_too_few_rows,morph_too_few_rows,,billex_too_few_rows,morph_too_few_rows,,True
54,needs_attention,broken,needs_attention,broken,needs_attention,broken,needs_attention,broken,billex_too_few_rows,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,billex_too_few_rows,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,True
55,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,True
56,needs_attention,broken,good,broken,needs_attention,needs_attention,good,needs_attention,billex_too_few_rows,morph_too_few_rows;morph_low_tag_coverage,,billex_too_few_rows,morph_too_few_rows,,True
57,broken,broken,needs_attention,broken,broken,needs_attention,needs_attention,broken,billex_too_few_rows;billex_high_null_rate,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,billex_too_few_rows;billex_high_null_rate,morph_too_few_rows,parcor_too_few_rows,True
58,broken,broken,broken,broken,broken,broken,broken,broken,billex_too_few_rows;billex_high_null_rate;billex_high_multiword_ind,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows;parcor_high_null_rate;parcor_high_short_rows,billex_too_few_rows;billex_high_null_rate;billex_high_multiword_ind,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows;parcor_high_null_rate;parcor_high_short_rows,True
60,broken,broken,needs_attention,broken,broken,broken,needs_attention,broken,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,True
61,needs_attention,broken,broken,broken,needs_attention,broken,broken,broken,billex_too_few_rows,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows;parcor_high_short_rows,billex_too_few_rows,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows;parcor_high_short_rows,True
62,broken,broken,broken,broken,broken,broken,broken,broken,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows;morph_low_tag_coverage,parcor_high_null_rate;parcor_high_short_rows,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows;morph_low_tag_coverage,parcor_high_null_rate;parcor_high_short_rows,True
63,needs_attention,broken,needs_attention,broken,needs_attention,needs_attention,needs_attention,needs_attention,billex_too_few_rows,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,True
66,broken,broken,needs_attention,broken,broken,broken,needs_attention,broken,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,True
67,broken,broken,broken,broken,broken,broken,broken,broken,billex_too_few_rows;billex_high_null_rate,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows;parcor_high_null_rate;parcor_high_short_rows,billex_too_few_rows;billex_high_null_rate,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows;parcor_high_null_rate;parcor_high_short_rows,True
68,good,good,good,good,good,good,good,good,,,,,,,True
70,needs_attention,broken,broken,broken,needs_attention,broken,needs_attention,broken,billex_too_few_rows,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows;parcor_high_placeholders,billex_too_few_rows,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,True
71,needs_attention,broken,needs_attention,broken,needs_attention,broken,needs_attention,broken,billex_too_few_rows,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,billex_too_few_rows,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,True
77,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,True
78,broken,needs_attention,broken,broken,broken,needs_attention,broken,broken,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows,parcor_too_few_rows;parcor_high_null_rate;parcor_high_short_rows,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows,parcor_too_few_rows;parcor_high_null_rate;parcor_high_short_rows,True
79,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,True
84,needs_attention,broken,broken,broken,needs_attention,needs_attention,broken,broken,billex_too_few_rows,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows;parcor_high_short_rows,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows;parcor_high_short_rows,True
85,broken,broken,needs_attention,broken,broken,broken,needs_attention,broken,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,True
87,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,True
89,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,needs_attention,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,billex_too_few_rows,morph_too_few_rows,parcor_too_few_rows,True
91,good,good,good,good,good,good,good,good,,,,,,,True
94,broken,broken,needs_attention,broken,broken,broken,needs_attention,broken,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,billex_too_few_rows;billex_high_multiword_ind,morph_too_few_rows;morph_low_tag_coverage,parcor_too_few_rows,True
