dict_id,direction,prep_rows,parcor_has_examples_in_source,parcor_source_example_rate
1,0,3986,True,0.7431
2,0,4752,True,0.4367
3,0,833,True,0.1633
4,1,3212,True,0.9598
5,1,3853,True,0.2136
8,1,2281,True,0.1863
9,0,2240,True,0.4862
10,1,5260,True,0.5694
11,0,2298,True,0.2829
12,1,9400,True,0.5218
13,1,1024,True,0.6943
14,1,1257,True,0.856
15,1,1495,True,0.5097
16,1,4105,True,0.5907
17,0,2160,True,0.7898
18,0,14876,True,0.1681
19,1,8552,True,0.7454
20,0,2109,True,0.8189
21,1,2990,True,0.697
22,0,365,True,0.2603
23,0,2938,True,0.822
24,0,8491,True,0.4338
25,1,440,True,0.4432
26,1,4735,True,0.1483
27,1,3723,True,0.4811
28,0,1081,True,0.5171
29,0,1979,True,0.8044
31,0,1371,True,0.4216
32,0,3345,True,0.3836
33,0,2899,True,0.7285
34,1,11207,True,0.4072
35,1,3145,True,0.739
36,1,2788,True,0.4552
37,1,361,True,0.8006
38,1,4370,True,0.4476
41,1,13376,True,0.3272
42,1,6925,True,0.657
43,1,4911,True,0.762
44,0,2001,True,0.3533
45,1,3661,True,0.6534
46,0,13194,True,0.6508
48,0,233,True,0.8798
50,1,1620,True,0.4327
51,0,2095,True,0.42
52,0,2679,True,0.7966
54,1,2352,True,0.5013
55,1,2668,True,0.6945
56,0,3116,True,0.7616
57,0,2620,True,0.6004
58,0,5237,True,0.2981
60,0,1643,True,0.6458
61,0,2793,True,0.3996
62,0,8739,True,0.4253
63,1,1084,True,0.857
66,0,1657,True,0.6132
67,0,3135,True,0.1678
68,0,7546,True,0.2711
70,0,354,True,0.1356
71,0,904,True,0.8097
77,0,1780,True,0.8096
78,0,1195,True,0.2669
79,0,1877,True,0.4331
84,0,1001,True,0.2677
85,0,1239,True,0.4592
87,1,2314,True,0.4434
89,0,1153,True,0.8109
91,0,10851,True,0.4349
94,0,957,True,0.1996
