dict_id,n_gold_rows,match_level,tp,fn,tn,fp,precision,recall,f1
34,1,strict,0,1,0,,,0.0,
34,1,normalized,0,1,0,,,0.0,
34,1,fuzzy,0,1,0,,,0.0,
42,22,strict,0,22,0,,,0.0,
42,22,normalized,0,22,0,,,0.0,
42,22,fuzzy,0,22,0,,,0.0,
54,141,strict,10,131,0,,,0.0709,
54,141,normalized,10,131,0,,,0.0709,
54,141,fuzzy,28,113,0,,,0.1986,
68,168,strict,6,162,0,,,0.0357,
68,168,normalized,29,139,0,,,0.1726,
68,168,fuzzy,47,121,0,,,0.2798,
71,126,strict,41,85,0,,,0.3254,
71,126,normalized,48,78,0,,,0.381,
71,126,fuzzy,74,52,0,,,0.5873,
89,142,strict,104,38,0,,,0.7324,
89,142,normalized,105,37,0,,,0.7394,
89,142,fuzzy,115,27,0,,,0.8099,
