dict_id,n_gold_rows,match_level,tp,fn,tn,fp,precision,recall,f1
34,1,strict,0,1,0,,,0.0,
34,1,normalized,0,1,0,,,0.0,
34,1,fuzzy,0,1,0,,,0.0,
42,22,strict,0,22,0,,,0.0,
42,22,normalized,0,22,0,,,0.0,
42,22,fuzzy,1,21,0,,,0.0455,
54,141,strict,0,141,0,,,0.0,
54,141,normalized,0,141,0,,,0.0,
54,141,fuzzy,0,141,0,,,0.0,
68,168,strict,4,164,0,,,0.0238,
68,168,normalized,19,149,0,,,0.1131,
68,168,fuzzy,41,127,0,,,0.244,
71,126,strict,40,86,0,,,0.3175,
71,126,normalized,46,80,0,,,0.3651,
71,126,fuzzy,70,56,0,,,0.5556,
89,142,strict,61,81,0,,,0.4296,
89,142,normalized,61,81,0,,,0.4296,
89,142,fuzzy,85,57,0,,,0.5986,
